,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
163,31.0,0.4,32.0,0.4,7.938945791,8.019791
164,40.0,0.4,32.0,0.4,8.030869147,8.060059
165,4.0,0.5,32.0,0.4,7.124820508,7.073208
166,13.0,0.5,32.0,0.4,8.910423679,8.901713
167,22.0,0.5,32.0,0.4,9.059767377,9.059885
168,31.0,0.5,32.0,0.4,9.062297341,9.108495
169,40.0,0.5,32.0,0.4,9.11533214,9.143607
170,4.0,0.6,32.0,0.4,6.623889185,6.5197773
171,13.0,0.6,32.0,0.4,9.358201644,9.255524
172,22.0,0.6,32.0,0.4,9.674982327,9.600431
173,31.0,0.6,32.0,0.4,9.678760089,9.65549
174,40.0,0.6,32.0,0.4,9.68293726,9.668477
175,4.0,0.7,32.0,0.4,5.705533604,5.638204
176,13.0,0.7,32.0,0.4,9.326379167,9.29471
177,22.0,0.7,32.0,0.4,9.762686554,9.755953
178,31.0,0.7,32.0,0.4,9.766348617,9.812239
179,40.0,0.7,32.0,0.4,9.771469318,9.809578
180,4.0,0.2,8.0,0.6,0.923359,0.900744
181,13.0,0.2,8.0,0.6,0.410039589,0.40784562
182,22.0,0.2,8.0,0.6,0.410071361,0.37473094
183,31.0,0.2,8.0,0.6,0.410041544,0.37060606
184,40.0,0.2,8.0,0.6,0.410048033,0.37510931
185,4.0,0.3,8.0,0.6,0.724849537,0.75483966
186,13.0,0.3,8.0,0.6,0.736825911,0.7625602
187,22.0,0.3,8.0,0.6,0.736674657,0.7733553
188,31.0,0.3,8.0,0.6,0.736694712,0.78783107
189,40.0,0.3,8.0,0.6,0.73660897,0.8027229
190,4.0,0.4,8.0,0.6,1.369530505,1.4224648
191,13.0,0.4,8.0,0.6,1.427062184,1.4418007
192,22.0,0.4,8.0,0.6,1.427328362,1.4435142
193,31.0,0.4,8.0,0.6,1.427261744,1.4551708
194,40.0,0.4,8.0,0.6,1.427091755,1.4460299
195,4.0,0.5,8.0,0.6,1.834506453,1.8424658
196,13.0,0.5,8.0,0.6,1.94793873,1.9722357
197,22.0,0.5,8.0,0.6,1.948346702,1.9768127
198,31.0,0.5,8.0,0.6,1.926402952,1.9811137
199,40.0,0.5,8.0,0.6,1.926721988,1.9867624
200,4.0,0.6,8.0,0.6,2.11742865,2.1411724
201,13.0,0.6,8.0,0.6,2.362194138,2.3806775
202,22.0,0.6,8.0,0.6,2.361978928,2.3856025
203,31.0,0.6,8.0,0.6,2.361897229,2.3886793
204,40.0,0.6,8.0,0.6,2.362490581,2.393876
205,4.0,0.7,8.0,0.6,2.293005105,2.2978215
206,13.0,0.7,8.0,0.6,2.674725558,2.7072387
207,22.0,0.7,8.0,0.6,2.676084568,2.7187808
208,31.0,0.7,8.0,0.6,2.675327403,2.7229462
209,40.0,0.7,8.0,0.6,2.676257874,2.7281077
210,4.0,0.2,20.0,0.6,2.184101648,2.2170098
211,13.0,0.2,20.0,0.6,2.221907886,2.2630239
212,22.0,0.2,20.0,0.6,2.223723329,2.284028
213,31.0,0.2,20.0,0.6,2.2232504,2.280239
214,40.0,0.2,20.0,0.6,2.223494047,2.2624753
215,4.0,0.3,20.0,0.6,3.537028964,3.5693204
216,13.0,0.3,20.0,0.6,3.707165972,3.7048123
217,22.0,0.3,20.0,0.6,3.714983331,3.7449987
218,31.0,0.3,20.0,0.6,3.715159407,3.7597663
219,40.0,0.3,20.0,0.6,3.715189892,3.7829738
220,4.0,0.4,20.0,0.6,4.679953402,4.7073965
221,13.0,0.4,20.0,0.6,5.135017579,5.153646
222,22.0,0.4,20.0,0.6,5.155094873,5.1848025
223,31.0,0.4,20.0,0.6,5.156344702,5.196564
224,40.0,0.4,20.0,0.6,5.155693582,5.210255
225,4.0,0.5,20.0,0.6,5.379656119,5.3459954
226,13.0,0.5,20.0,0.6,6.158565837,6.2287354
227,22.0,0.5,20.0,0.6,6.199284687,6.253531
228,31.0,0.5,20.0,0.6,6.200421855,6.254721
229,40.0,0.5,20.0,0.6,6.200768508,6.2591867
230,4.0,0.6,20.0,0.6,5.493961676,5.4377637
231,13.0,0.6,20.0,0.6,7.003392453,7.0290437
232,22.0,0.6,20.0,0.6,7.068573092,7.10043
233,31.0,0.6,20.0,0.6,7.070901171,7.112065
234,40.0,0.6,20.0,0.6,7.071077034,7.1272
235,4.0,0.7,20.0,0.6,5.335649116,5.3689957
236,13.0,0.7,20.0,0.6,7.521325637,7.6000867
237,22.0,0.7,20.0,0.6,7.613395031,7.7018733
